genre,number_of_movies
Drama,843
Comedy,521
Horror,178
Comedy|Drama,161
Comedy|Romance,142
Drama|Romance,134
Documentary,116
Thriller,101
Action,65
Drama|Thriller,61
Action|Thriller,48
Children's|Comedy,47
Crime|Drama,44
Drama|War,42
Romance,40
Action|Drama,38
Animation|Children's,35
Comedy|Drama|Romance,34
Western,34
Horror|SciFi,33
Horror|Thriller,32
Adventure|Children's,30
Comedy|Horror,30
Action|SciFi,28
SciFi,27
Crime,26
Action|Adventure,25
Action|Comedy,22
Crime|Thriller,21
Action|Adventure|SciFi,21
Mystery|Thriller,20
Animation|Children's|Musical,19
Drama|Mystery,18
Musical,18
SciFi|Thriller,17
Adventure,17
Comedy|Musical,17
Action|War,15
Action|SciFi|Thriller,14
Comedy|SciFi,14
Action|Crime,14
Action|Drama|War,13
Comedy|Crime,13
Drama|Musical,12
Children's|Drama,12
War,12
Adventure|Children's|Fantasy,11
Action|Adventure|Thriller,11
Drama|SciFi,11
Drama|Horror,11
Horror|SciFi|Thriller,11
Animation|Children's|Comedy,10
Action|Drama|Thriller,10
Adventure|Drama,10
Drama|Romance|War,10
Comedy|Thriller,10
Mystery,10
FilmNoir,10
Comedy|War,9
Crime|Drama|Thriller,8
Adventure|SciFi,8
Comedy|Musical|Romance,8
Action|Crime|Drama,7
Action|Romance|Thriller,7
Comedy|Western,7
Action|Horror|SciFi,7
Action|Adventure|SciFi|Thriller,7
Adventure|Comedy,7
Action|Comedy|Crime|Drama,7
Action|Crime|Thriller,6
Adventure|Children's|Drama,6
FilmNoir|Thriller,6
Drama|Western,6
Adventure|Children's|Comedy,6
Comedy|Fantasy,6
Adventure|Romance,5
Children's,5
Comedy|Mystery,5
Action|Adventure|Comedy,5
Action|Adventure|Fantasy,5
Musical|Romance,5
Romance|Thriller,5
Animation|Comedy,5
Action|Adventure|Drama,5
Action|Horror,5
Drama|Mystery|Romance,4
Children's|Comedy|Fantasy,4
Action|Comedy|Western,4
Action|Adventure|Comedy|Romance,4
Comedy|Crime|Drama,4
Comedy|Drama|War,4
Action|Crime|Romance,4
Documentary|Drama,4
Crime|FilmNoir|Thriller,4
Adventure|War,4
Romance|War,4
Crime|FilmNoir,4
Horror|Mystery|Thriller,4
Comedy|Documentary,4
Action|Adventure|Horror,4
Action|Comedy|Drama,3
Children's|Comedy|Drama,3
Crime|Drama|Romance,3
Action|Adventure|Crime,3
Action|Adventure|Comedy|Crime,3
Action|Children's,3
Action|Crime|SciFi,3
Action|Adventure|Fantasy|SciFi,3
Mystery|Romance|Thriller,3
Dramatic,3
Comedy|Romance|Thriller,3
Animation|Children's|Comedy|Musical,3
Animation|SciFi,3
Action|Mystery|Thriller,3
