genre,ratings_count
Drama,2208
Comedy,1312
Horror,454
Comedy|Drama,394
Comedy|Romance,384
Documentary,324
Drama|Romance,320
Thriller,279
Action,168
Drama|Thriller,156
Children's|Comedy,142
Action|Thriller,116
Romance,109
Crime|Drama,108
Horror|SciFi,98
Animation|Children's,92
Western,92
Drama|War,91
Action|Drama,89
Horror|Thriller,82
Adventure|Children's,79
Action|SciFi,75
Comedy|Drama|Romance,74
Comedy|Horror,67
Action|Adventure|SciFi,67
Crime,64
Action|Adventure,62
Action|Comedy,62
SciFi,59
Mystery|Thriller,55
SciFi|Thriller,52
Animation|Children's|Musical,51
Crime|Thriller,48
Drama|Mystery,46
Musical,46
Action|War,43
Drama|Musical,40
Adventure,39
Comedy|SciFi,38
Comedy|Crime,38
Action|SciFi|Thriller,36
Action|Crime,36
Comedy|Musical,36
Action|Drama|War,35
Children's|Drama,33
Horror|SciFi|Thriller,32
Action|Drama|Thriller,31
Mystery,31
Comedy|Thriller,30
Drama|SciFi,29
Adventure|Children's|Fantasy,28
Comedy|Musical|Romance,28
Action|Horror|SciFi,26
War,26
Adventure|Drama,25
Action|Adventure|Thriller,23
Crime|Drama|Thriller,23
Comedy|War,23
FilmNoir,22
Romance|Thriller,22
Action|Adventure|Drama,22
Drama|Horror,20
Animation|Children's|Comedy,19
Action|Crime|Thriller,19
Adventure|SciFi,19
Drama|Romance|War,19
Action|Adventure|SciFi|Thriller,19
Adventure|Comedy,19
Crime|Drama|Romance,18
Action|Romance|Thriller,18
Adventure|Children's|Drama,18
Comedy|Crime|Drama,16
Action|Adventure|Fantasy,15
Adventure|Romance,14
Children's|Comedy|Drama,14
FilmNoir|Thriller,14
Action|Adventure|Comedy,14
Animation|Comedy,14
Action|Crime|Drama,13
Drama|Mystery|Romance,13
Comedy|Western,13
Musical|Romance,13
Adventure|Children's|Comedy,13
Action|Horror,13
Action|Crime|Romance,13
Comedy|Documentary,13
Children's,12
Comedy|Mystery,12
Comedy|Drama|War,12
Action|Horror|SciFi|Thriller,12
Children's|Drama|Fantasy,11
Adventure|War,11
Action|Romance,11
Crime|Drama|FilmNoir,11
Crime|Drama|Mystery,11
Horror|Mystery|Thriller,11
Adventure|Drama|Romance,11
Action|Adventure|Comedy|Crime,10
Drama|Western,10
Animation|Children's|Comedy|Musical,10
Action|Comedy|Crime|Drama,10
Comedy|Drama|Western,10
Action|Comedy|Drama,9
Action|Crime|SciFi,9
Mystery|Romance|Thriller,9
Comedy|Romance|Thriller,9
Crime|FilmNoir|Thriller,9
Romance|War,9
Crime|FilmNoir,9
Comedy|Fantasy,9
Drama|SciFi|Thriller,9
Action|Adventure|Comedy|Romance,8
Animation,8
Crime|Drama|SciFi,8
Animation|Children's|Comedy|Musical|Romance,8
Comedy|Crime|Thriller,8
Animation|Musical,8
FilmNoir|Horror,8
Children's|Comedy|Fantasy,7
Action|Comedy|Western,7
Documentary|Drama,7
Animation|Comedy|Thriller,7
FilmNoir|Mystery,7
Children's|Comedy|Mystery,7
Action|Western,7
Comedy|Crime|Drama|Mystery,7
Adventure|SciFi|Thriller,7
Adventure|Comedy|Romance,7
Action|Crime|Drama|Thriller,7
Adventure|Children's|SciFi,7
Children's|Musical,7
Drama|Fantasy,7
Comedy|Romance|SciFi,7
Action|Adventure|Children's|Comedy,7
Action|Adventure|Romance,6
Action|Adventure|Crime,6
Action|Children's,6
Drama|Mystery|Thriller,6
Dramatic,6
Action|Adventure|Comedy|War,6
Action|Mystery|Thriller,6
Comedy|Mystery|Romance|Thriller,6
Adventure|Western,6
Action|Adventure|Comedy|Horror,6
Horror|Romance,6
Crime|Horror|Thriller,6
Action|Drama|Romance|Thriller,6
Comedy|Horror|Thriller,6
Crime|FilmNoir|Mystery|Thriller,5
Action|Comedy|Musical|SciFi,5
