User_ID,Age,Gender,Country,Subscription_Status,Total_WatchTime,Device
SF_1,11,FEMALE,INDIA,Free,231,Mobile
SF_2,13,MALE,USA,Subscriber,377,Smart TV
SF_3,24,MALE,ITALY,Free,352,Mobile
SF_4,37,MALE,USA,Subscriber,398,Desktop
SF_5,15,MALE,UK,Subscriber,292,Mobile
SF_6,36,FEMALE,INDIA,Subscriber,486,Desktop
SF_7,24,MALE,CANADA,Free,17,Smart TV
SF_8,28,MALE,USA,Subscriber,26,Smart TV
SF_9,11,MALE,FRANCE,Subscriber,385,Smart TV
SF_10,65,FEMALE,ITALY,Free,458,Mobile
SF_11,60,FEMALE,INDIA,Free,145,Smart TV
SF_12,31,MALE,ITALY,Free,253,Desktop
SF_13,13,MALE,FRANCE,Free,347,Desktop
SF_14,14,MALE,INDIA,Subscriber,465,Tablet
SF_15,37,MALE,FRANCE,Free,459,Mobile
SF_16,43,FEMALE,USA,Subscriber,36,Tablet
SF_17,46,MALE,UK,Free,78,Desktop
SF_18,26,FEMALE,FRANCE,Subscriber,65,Smart TV
SF_19,32,MALE,ITALY,Subscriber,14,Tablet
SF_20,37,MALE,FRANCE,Free,326,Tablet
SF_21,31,MALE,UK,Free,91,Tablet
SF_22,45,MALE,FRANCE,Free,424,Mobile
SF_23,19,MALE,USA,Free,138,Desktop
SF_24,43,FEMALE,FRANCE,Subscriber,151,Tablet
SF_25,16,MALE,UK,Subscriber,384,Desktop
SF_26,30,MALE,ITALY,Free,237,Tablet
SF_27,51,MALE,FRANCE,Subscriber,438,Tablet
SF_28,26,FEMALE,UK,Free,405,Desktop
SF_29,24,MALE,USA,Free,198,Smart TV
SF_30,56,FEMALE,INDIA,Free,279,Desktop
SF_31,18,MALE,ITALY,Free,184,Tablet
SF_32,25,FEMALE,UK,Free,245,Desktop
SF_33,16,MALE,CANADA,Free,121,Tablet
SF_34,14,FEMALE,UK,Subscriber,380,Mobile
SF_35,17,MALE,UK,Subscriber,72,Desktop
SF_36,19,MALE,INDIA,Free,467,Desktop
SF_37,36,FEMALE,USA,Free,96,Mobile
SF_38,14,FEMALE,ITALY,Free,248,Tablet
SF_39,39,MALE,ITALY,Free,443,Tablet
SF_40,50,MALE,USA,Free,415,Mobile
SF_41,45,FEMALE,FRANCE,Subscriber,319,Tablet
SF_42,14,MALE,CANADA,Free,190,Tablet
SF_43,50,MALE,UK,Free,490,Smart TV
SF_44,64,MALE,INDIA,Subscriber,242,Desktop
SF_45,22,FEMALE,FRANCE,Free,418,Tablet
SF_46,24,MALE,ITALY,Subscriber,133,Desktop
SF_47,35,MALE,INDIA,Free,278,Smart TV
SF_48,25,MALE,CANADA,Free,257,Tablet
SF_49,65,MALE,USA,Subscriber,61,Desktop
SF_50,32,FEMALE,ITALY,Free,14,Mobile
SF_51,52,FEMALE,USA,Subscriber,471,Mobile
SF_52,28,MALE,USA,Subscriber,284,Desktop
SF_53,16,MALE,ITALY,Free,54,Tablet
SF_54,65,MALE,FRANCE,Subscriber,370,Tablet
SF_55,58,FEMALE,CANADA,Free,479,Desktop
SF_56,20,MALE,FRANCE,Free,385,Mobile
SF_57,41,MALE,ITALY,Free,96,Tablet
SF_58,41,MALE,INDIA,Free,356,Smart TV
SF_59,29,FEMALE,USA,Free,108,Mobile
SF_60,29,MALE,INDIA,Subscriber,491,Mobile
SF_61,39,MALE,UK,Subscriber,362,Tablet
SF_62,34,FEMALE,UK,Free,60,Smart TV
SF_63,59,MALE,USA,Subscriber,496,Tablet
SF_64,27,MALE,FRANCE,Free,182,Smart TV
SF_65,45,MALE,ITALY,Subscriber,485,Smart TV
SF_66,28,MALE,ITALY,Subscriber,41,Desktop
SF_67,14,FEMALE,CANADA,Free,317,Tablet
SF_68,20,MALE,INDIA,Subscriber,279,Desktop
SF_69,57,FEMALE,USA,Subscriber,122,Mobile
SF_70,46,MALE,CANADA,Free,67,Tablet
SF_71,41,MALE,USA,Free,313,Smart TV
SF_72,57,FEMALE,CANADA,Free,210,Tablet
SF_73,25,MALE,UK,Subscriber,220,Mobile
SF_74,39,MALE,ITALY,Subscriber,120,Mobile
SF_75,16,FEMALE,UK,Subscriber,59,Tablet
SF_76,11,MALE,ITALY,Subscriber,377,Tablet
SF_77,23,MALE,INDIA,Free,269,Tablet
SF_78,47,FEMALE,FRANCE,Subscriber,485,Tablet
SF_79,63,FEMALE,CANADA,Subscriber,257,Smart TV
SF_80,28,MALE,USA,Subscriber,322,Smart TV
SF_81,39,FEMALE,ITALY,Subscriber,492,Desktop
SF_82,25,MALE,FRANCE,Subscriber,499,Tablet
SF_83,40,FEMALE,USA,Subscriber,50,Tablet
SF_84,31,MALE,ITALY,Subscriber,193,Smart TV
SF_85,13,MALE,USA,Free,26,Mobile
SF_86,26,FEMALE,USA,Free,376,Desktop
SF_87,26,MALE,FRANCE,Free,116,Smart TV
SF_88,65,FEMALE,ITALY,Free,173,Desktop
SF_89,59,FEMALE,CANADA,Free,153,Tablet
SF_90,59,MALE,INDIA,Subscriber,51,Mobile
SF_91,39,MALE,ITALY,Subscriber,64,Tablet
SF_92,62,FEMALE,FRANCE,Subscriber,392,Desktop
SF_93,37,MALE,ITALY,Free,293,Desktop
SF_94,36,MALE,CANADA,Subscriber,59,Smart TV
SF_95,43,MALE,USA,Subscriber,37,Smart TV
SF_96,15,FEMALE,UK,Free,116,Smart TV
SF_97,56,FEMALE,INDIA,Free,463,Smart TV
SF_98,48,FEMALE,ITALY,Subscriber,336,Smart TV
SF_99,23,FEMALE,INDIA,Subscriber,380,Mobile
SF_100,39,MALE,ITALY,Subscriber,292,Desktop
SF_101,36,FEMALE,INDIA,Free,177,Tablet
SF_102,57,MALE,FRANCE,Free,221,Tablet
SF_103,48,MALE,FRANCE,Subscriber,500,Desktop
SF_104,56,MALE,ITALY,Free,224,Smart TV
SF_105,32,MALE,CANADA,Free,302,Mobile
SF_106,14,FEMALE,CANADA,Free,301,Smart TV
SF_107,53,MALE,CANADA,Subscriber,293,Smart TV
SF_108,36,MALE,CANADA,Subscriber,418,Desktop
SF_109,64,MALE,INDIA,Free,323,Smart TV
SF_110,40,MALE,FRANCE,Free,296,Mobile
SF_111,20,MALE,CANADA,Subscriber,453,Smart TV
SF_112,24,MALE,UK,Free,90,Tablet
SF_113,12,MALE,USA,Free,33,Smart TV
SF_114,38,FEMALE,UK,Subscriber,189,Mobile
SF_115,33,MALE,INDIA,Free,175,Smart TV
SF_116,26,MALE,ITALY,Free,32,Smart TV
SF_117,35,MALE,ITALY,Free,412,Mobile
SF_118,51,MALE,UK,Subscriber,255,Mobile
SF_119,18,FEMALE,INDIA,Subscriber,461,Mobile
SF_120,37,MALE,FRANCE,Subscriber,398,Mobile
SF_121,53,MALE,UK,Free,325,Mobile
SF_122,41,FEMALE,UK,Subscriber,92,Tablet
SF_123,41,MALE,FRANCE,Free,342,Mobile
SF_124,40,MALE,INDIA,Free,327,Mobile
SF_125,60,MALE,ITALY,Subscriber,392,Smart TV
SF_126,16,MALE,UK,Free,264,Tablet
SF_127,60,FEMALE,USA,Free,32,Mobile
SF_128,59,MALE,UK,Subscriber,186,Desktop
SF_129,54,MALE,UK,Subscriber,212,Smart TV
SF_130,40,MALE,CANADA,Free,126,Desktop
SF_131,56,MALE,INDIA,Subscriber,454,Mobile
SF_132,63,MALE,INDIA,Free,360,Smart TV
SF_133,24,FEMALE,USA,Subscriber,186,Tablet
SF_134,50,MALE,ITALY,Subscriber,135,Mobile
SF_135,9,MALE,FRANCE,Subscriber,15,Smart TV
SF_136,37,MALE,CANADA,Free,140,Desktop
SF_137,27,FEMALE,UK,Free,420,Mobile
SF_138,59,MALE,FRANCE,Free,348,Smart TV
SF_139,62,FEMALE,UK,Free,210,Desktop
SF_140,25,FEMALE,CANADA,Subscriber,466,Tablet
SF_141,42,MALE,INDIA,Free,368,Tablet
SF_142,58,MALE,INDIA,Subscriber,122,Smart TV
SF_143,26,MALE,FRANCE,Free,259,Desktop
SF_144,15,MALE,USA,Subscriber,465,Tablet
SF_145,62,MALE,FRANCE,Subscriber,238,Mobile
SF_146,45,FEMALE,ITALY,Subscriber,430,Mobile
SF_147,27,MALE,UK,Free,379,Smart TV
SF_148,29,MALE,FRANCE,Free,112,Desktop
SF_149,64,MALE,ITALY,Subscriber,183,Smart TV
SF_150,33,MALE,INDIA,Free,315,Tablet
SF_151,25,FEMALE,FRANCE,Free,116,Tablet
SF_152,54,MALE,ITALY,Subscriber,138,Smart TV
SF_153,54,MALE,ITALY,Free,458,Mobile
SF_154,49,MALE,CANADA,Subscriber,344,Desktop
SF_155,46,MALE,CANADA,Subscriber,202,Tablet
SF_156,29,FEMALE,UK,Subscriber,281,Smart TV
SF_157,42,MALE,CANADA,Free,89,Tablet
SF_158,61,MALE,UK,Free,75,Desktop
SF_159,49,FEMALE,CANADA,Subscriber,82,Mobile
SF_160,48,MALE,UK,Subscriber,440,Mobile
SF_161,63,MALE,CANADA,Free,464,Mobile
SF_162,9,FEMALE,USA,Free,292,Mobile
SF_163,23,MALE,CANADA,Subscriber,158,Mobile
SF_164,43,FEMALE,USA,Subscriber,167,Tablet
SF_165,33,MALE,INDIA,Free,185,Smart TV
SF_166,37,MALE,CANADA,Subscriber,136,Desktop
SF_167,44,FEMALE,ITALY,Free,191,Desktop
SF_168,38,FEMALE,USA,Free,460,Smart TV
SF_169,26,MALE,CANADA,Free,480,Tablet
SF_170,50,MALE,CANADA,Subscriber,444,Mobile
SF_171,28,FEMALE,CANADA,Free,280,Smart TV
SF_172,40,MALE,UK,Free,312,Desktop
SF_173,42,MALE,INDIA,Subscriber,360,Smart TV
SF_174,19,MALE,ITALY,Subscriber,70,Smart TV
SF_175,51,FEMALE,UK,Subscriber,478,Tablet
SF_176,11,FEMALE,INDIA,Free,108,Desktop
SF_177,15,MALE,ITALY,Subscriber,223,Smart TV
SF_178,46,MALE,FRANCE,Subscriber,137,Mobile
SF_179,53,MALE,UK,Subscriber,309,Desktop
SF_180,52,MALE,FRANCE,Subscriber,455,Desktop
SF_181,17,MALE,USA,Subscriber,397,Smart TV
SF_182,14,MALE,INDIA,Free,236,Smart TV
SF_183,57,FEMALE,ITALY,Subscriber,240,Mobile
SF_184,23,FEMALE,FRANCE,Subscriber,131,Smart TV
SF_185,16,MALE,ITALY,Subscriber,342,Tablet
SF_186,17,MALE,UK,Subscriber,341,Desktop
SF_187,24,FEMALE,FRANCE,Free,361,Tablet
SF_188,62,MALE,UK,Free,64,Desktop
SF_189,11,MALE,FRANCE,Subscriber,145,Tablet
SF_190,55,MALE,FRANCE,Free,288,Smart TV
SF_191,36,MALE,FRANCE,Free,14,Tablet
SF_192,57,MALE,UK,Free,217,Smart TV
SF_193,24,FEMALE,FRANCE,Free,93,Mobile
SF_194,49,FEMALE,ITALY,Subscriber,404,Desktop
SF_195,16,MALE,ITALY,Subscriber,124,Desktop
SF_196,40,FEMALE,CANADA,Free,50,Tablet
SF_197,39,MALE,ITALY,Free,288,Desktop
SF_198,61,MALE,CANADA,Subscriber,469,Desktop
SF_199,63,MALE,FRANCE,Subscriber,220,Smart TV
SF_200,36,FEMALE,UK,Free,197,Mobile
SF_201,46,FEMALE,INDIA,Subscriber,275,Tablet
SF_202,36,MALE,ITALY,Free,150,Smart TV
SF_203,41,FEMALE,CANADA,Subscriber,487,Desktop
SF_204,45,MALE,CANADA,Free,218,Desktop
SF_205,13,MALE,ITALY,Free,159,Smart TV
SF_206,61,MALE,FRANCE,Free,179,Smart TV
SF_207,54,MALE,USA,Subscriber,340,Smart TV
SF_208,13,MALE,CANADA,Subscriber,256,Smart TV
SF_209,16,MALE,ITALY,Subscriber,222,Tablet
SF_210,55,FEMALE,USA,Subscriber,199,Tablet
SF_211,26,MALE,INDIA,Subscriber,458,Desktop
SF_212,45,MALE,ITALY,Subscriber,250,Desktop
SF_213,37,FEMALE,USA,Subscriber,137,Tablet
SF_214,51,MALE,ITALY,Free,61,Smart TV
SF_215,41,MALE,USA,Free,338,Mobile
SF_216,9,MALE,INDIA,Subscriber,282,Mobile
SF_217,43,MALE,FRANCE,Subscriber,24,Mobile
SF_218,26,MALE,UK,Subscriber,458,Smart TV
SF_219,32,FEMALE,FRANCE,Free,353,Tablet
SF_220,21,MALE,INDIA,Subscriber,249,Mobile
SF_221,40,FEMALE,FRANCE,Free,272,Desktop
SF_222,35,MALE,ITALY,Subscriber,202,Smart TV
SF_223,44,MALE,ITALY,Free,293,Desktop
SF_224,44,FEMALE,FRANCE,Subscriber,216,Tablet
SF_225,11,MALE,INDIA,Free,286,Desktop
SF_226,55,MALE,CANADA,Subscriber,403,Smart TV
SF_227,45,MALE,CANADA,Subscriber,413,Tablet
SF_228,51,MALE,USA,Subscriber,227,Tablet
SF_229,37,MALE,CANADA,Subscriber,455,Mobile
SF_230,64,MALE,ITALY,Subscriber,443,Tablet
SF_231,60,MALE,CANADA,Subscriber,494,Mobile
SF_232,40,MALE,FRANCE,Subscriber,337,Tablet
SF_233,13,FEMALE,CANADA,Free,83,Desktop
SF_234,59,MALE,USA,Subscriber,350,Smart TV
SF_235,17,MALE,USA,Free,136,Smart TV
SF_236,41,MALE,USA,Free,258,Mobile
SF_237,64,MALE,CANADA,Subscriber,471,Desktop
SF_238,24,FEMALE,ITALY,Subscriber,161,Mobile
SF_239,58,MALE,ITALY,Subscriber,77,Tablet
SF_240,24,MALE,USA,Free,301,Smart TV
SF_241,54,MALE,UK,Subscriber,35,Mobile
SF_242,58,FEMALE,UK,Subscriber,255,Smart TV
SF_243,59,MALE,CANADA,Free,255,Tablet
SF_244,48,MALE,USA,Subscriber,219,Mobile
SF_245,54,MALE,FRANCE,Free,293,Desktop
SF_246,25,FEMALE,CANADA,Free,454,Mobile
SF_247,34,MALE,FRANCE,Free,120,Smart TV
SF_248,64,MALE,CANADA,Free,68,Mobile
SF_249,17,FEMALE,ITALY,Free,366,Desktop
SF_250,39,MALE,ITALY,Free,458,Smart TV
SF_251,62,MALE,FRANCE,Free,350,Tablet
SF_252,39,MALE,INDIA,Free,79,Tablet
SF_253,46,FEMALE,CANADA,Subscriber,146,Mobile
SF_254,33,MALE,USA,Subscriber,386,Desktop
SF_255,41,MALE,CANADA,Free,373,Desktop
SF_256,36,MALE,UK,Subscriber,372,Desktop
SF_257,18,MALE,USA,Free,377,Smart TV
SF_258,40,MALE,UK,Free,343,Desktop
SF_259,12,MALE,CANADA,Free,343,Smart TV
SF_260,20,MALE,USA,Free,78,Desktop
SF_261,36,MALE,INDIA,Free,105,Tablet
SF_262,10,FEMALE,USA,Free,332,Tablet
SF_263,27,FEMALE,USA,Subscriber,421,Desktop
SF_264,51,MALE,FRANCE,Free,277,Mobile
SF_265,33,FEMALE,FRANCE,Free,294,Mobile
SF_266,62,MALE,CANADA,Free,58,Smart TV
SF_267,42,MALE,ITALY,Free,323,Tablet
SF_268,9,FEMALE,ITALY,Subscriber,376,Tablet
SF_269,49,MALE,USA,Subscriber,80,Mobile
SF_270,40,MALE,INDIA,Free,458,Desktop
SF_271,55,MALE,UK,Subscriber,143,Tablet
SF_272,57,MALE,USA,Subscriber,408,Mobile
SF_273,17,MALE,USA,Subscriber,101,Smart TV
SF_274,22,MALE,UK,Subscriber,404,Tablet
SF_275,33,MALE,USA,Free,336,Smart TV
SF_276,41,MALE,ITALY,Free,76,Smart TV
SF_277,19,FEMALE,CANADA,Free,156,Smart TV
SF_278,63,MALE,FRANCE,Free,10,Tablet
SF_279,64,MALE,INDIA,Free,284,Desktop
SF_280,44,MALE,UK,Free,443,Tablet
SF_281,55,FEMALE,USA,Subscriber,299,Tablet
SF_282,13,MALE,CANADA,Subscriber,79,Smart TV
SF_283,53,MALE,USA,Free,260,Smart TV
SF_284,48,MALE,CANADA,Subscriber,22,Smart TV
SF_285,13,FEMALE,INDIA,Subscriber,220,Mobile
SF_286,49,MALE,FRANCE,Free,351,Smart TV
SF_287,34,MALE,INDIA,Free,339,Tablet
SF_288,43,FEMALE,INDIA,Subscriber,53,Mobile
SF_289,18,FEMALE,USA,Free,391,Desktop
SF_290,14,FEMALE,CANADA,Free,244,Smart TV
SF_291,60,MALE,ITALY,Free,374,Smart TV
SF_292,28,MALE,USA,Free,451,Desktop
SF_293,19,MALE,UK,Subscriber,211,Mobile
